Species,Order,Family,GF,DS
Acaena novae-zelandiae,Rosales,Rosaceae,herb,Animal
Agrostis venusta A1,Poales,Poaceae,herb,Wind
Agrostis venusta A2,Poales,Poaceae,herb,Wind
Brachyscome spathulata,Asterales,Compositae,herb,Wind
Carex hebes,Poales,Cyperaceae,herb,Gravity
Celmisia costiniana,Asterales,Compositae,herb,Wind
Colobanthus affinis,Caryophyllales,Caryophyllaceae,herb,Wind
Craspedia aurantia,Asterales,Compositae,herb,Wind
Erigeron bellidiodes,Asterales,Compositae,herb,Wind
Erigeron nitidus (nitidius),Asterales,Compositae,herb,Wind
Argyrotegium fordianum,Asterales,Compositae,herb,Wind
Hypochaeris radicata,Asterales,Compositae,herb,Wind
Luzula novae-cambriae,Poales,Juncaceae,herb,Gravity
Microseris lanceolata,Asterales,Compositae,herb,Wind
Olearia frostii,Asterales,Compositae,shrub,Wind
Oreomyrrhis eriopoda,Apiales,Apiaceae,herb,Gravity
Plantago euryphylla,Lamiales,Plantaginaceae,herb,Gravity
Poa hiemata,Poales,Poaceae,herb,Wind
Podolepis robusta,Asterales,Compositae,herb,Wind
Ranunculus victoriensis,Ranunculales,Ranunculaceae,herb,Animal
Rytidosperma nudiflorum,Poales,Poaceae,herb,Wind
Senecio pinnatifolius,Asterales,Compositae,herb,Wind
Trisetum spicatum,Poales,Poaceae,herb,Wind
Viola betonicifolia,Malpighiales,Violaceae,herb,Gravity
Xerochrysum subundulatum,Asterales,Compositae,herb,Wind